WL [mn],T
705.77,0.37057
706.11,0.36052
706.44,0.35495
706.78,0.3514
707.11,0.34973
707.45,0.35336
707.78,0.36211
708.12,0.37504
708.45,0.38932
708.79,0.40553
709.12,0.42251
709.46,0.43532
709.79,0.44174
710.13,0.4448
710.46,0.44076
710.79,0.43433
711.13,0.426
711.46,0.41245
711.8,0.40088
712.13,0.39289
712.47,0.39079
712.8,0.39114
713.13,0.3999
713.47,0.40998
713.8,0.42765
714.14,0.4482
714.47,0.46671
714.8,0.4847
715.14,0.4968
715.47,0.50098
715.8,0.50264
716.14,0.49924
716.47,0.48558
716.8,0.46758
717.14,0.45185
717.47,0.4392
717.81,0.42836
718.14,0.42189
718.47,0.42276
718.81,0.43144
719.14,0.44526
719.47,0.46617
719.8,0.48864
720.14,0.50995
720.47,0.52787
720.8,0.53951
721.14,0.54897
721.47,0.55148
721.8,0.54503
722.13,0.53333
722.47,0.51523
722.8,0.49398
723.13,0.47706
723.47,0.46203
723.8,0.45471
724.13,0.45082
724.46,0.45359
724.8,0.46604
725.13,0.47888
725.46,0.50309
725.79,0.53102
726.12,0.55297
726.46,0.57459
726.79,0.59236
727.12,0.5949
727.45,0.59523
727.78,0.58692
728.12,0.56796
728.45,0.55026
728.78,0.53089
729.11,0.51079
729.44,0.49072
729.78,0.48115
730.11,0.47764
730.44,0.48059
730.77,0.49062
731.1,0.50831
731.43,0.52885
731.76,0.55294
732.1,0.57946
732.43,0.60644
732.76,0.62246
733.09,0.63447
733.42,0.63933
733.75,0.62597
734.08,0.61426
734.41,0.59413
734.74,0.56857
735.08,0.54491
735.41,0.52228
735.74,0.50549
736.07,0.49715
736.4,0.49461
736.73,0.50303
737.06,0.517
737.39,0.54043
737.72,0.5651
738.05,0.59284
738.38,0.61962
738.71,0.64561
739.04,0.66825
739.37,0.67795
739.7,0.67371
740.03,0.65875
740.36,0.64232
740.69,0.61831
741.02,0.59045
741.35,0.56366
741.68,0.54132
742.01,0.52572
742.34,0.51406
742.67,0.51045
743,0.51888
743.33,0.52941
743.66,0.54888
743.99,0.57601
744.32,0.60582
744.65,0.6384
744.98,0.66471
745.31,0.68326
745.64,0.69081
745.97,0.69834
746.3,0.69264
746.63,0.67053
746.96,0.64595
747.29,0.62694
747.61,0.60383
747.94,0.57192
748.27,0.54798
748.6,0.53344
748.93,0.52515
749.26,0.52115
749.59,0.52878
749.92,0.54702
750.24,0.56788
750.57,0.5938
750.9,0.62329
751.23,0.65639
751.56,0.68342
751.89,0.70079
752.22,0.71598
752.54,0.71677
752.87,0.71251
753.2,0.69961
753.53,0.67649
753.86,0.65417
754.19,0.62187
754.51,0.59137
754.84,0.56506
755.17,0.54784
755.5,0.53546
755.82,0.52906
756.15,0.53515
756.48,0.54935
756.81,0.56438
757.14,0.59003
757.46,0.62184
757.79,0.65146
758.12,0.68678
758.45,0.71643
758.77,0.73338
759.1,0.74295
759.43,0.74195
759.75,0.7326
760.08,0.71084
760.41,0.68337
760.74,0.65728
761.06,0.63383
761.39,0.60554
761.72,0.57622
762.04,0.55301
762.37,0.54067
762.7,0.54443
763.02,0.54746
763.35,0.5509
763.68,0.57103
764,0.59973
764.33,0.62596
764.66,0.65306
764.98,0.68586
765.31,0.71532
765.64,0.73593
765.96,0.74449
766.29,0.74802
766.62,0.74607
766.94,0.73334
767.27,0.7119
767.59,0.68293
767.92,0.65275
768.25,0.62871
768.57,0.59799
768.9,0.5744
769.22,0.55665
769.55,0.54544
769.88,0.53931
770.2,0.54355
770.53,0.55755
770.85,0.57957
771.18,0.60762
771.5,0.63671
771.83,0.66505
772.15,0.70099
772.48,0.7309
772.8,0.75139
773.13,0.76296
773.45,0.76686
773.78,0.76172
774.11,0.75315
774.43,0.7283
774.76,0.70005
775.08,0.67079
775.4,0.64062
775.73,0.61129
776.05,0.59011
776.38,0.5661
776.7,0.55446
777.03,0.5511
777.35,0.55159
777.68,0.56
778,0.57744
778.33,0.594
778.65,0.61913
778.98,0.65816
779.3,0.69128
779.62,0.72291
779.95,0.74955
780.27,0.764
780.6,0.77292
780.92,0.78113
781.24,0.76933
781.57,0.74976
781.89,0.73201
782.22,0.70852
782.54,0.6789
782.86,0.64718
783.19,0.6218
783.51,0.59811
783.83,0.576
784.16,0.55914
784.48,0.55299
784.8,0.55489
785.13,0.56111
785.45,0.57746
785.77,0.59606
786.1,0.62016
786.42,0.64817
786.74,0.68316
787.07,0.71456
787.39,0.7487
787.71,0.76188
788.04,0.7748
788.36,0.78937
788.68,0.7879
789,0.76994
789.33,0.75523
789.65,0.72695
789.97,0.6972
790.3,0.67058
790.62,0.64448
790.94,0.61902
791.26,0.5931
791.58,0.57518
791.91,0.56164
792.23,0.55235
792.55,0.5526
792.87,0.55769
793.2,0.57881
793.52,0.59739
793.84,0.62579
794.16,0.65856
794.48,0.6933
794.81,0.72491
795.13,0.74849
795.45,0.77134
795.77,0.78571
796.09,0.79506
796.41,0.79089
796.74,0.78045
797.06,0.76062
797.38,0.73871
797.7,0.71472
798.02,0.67719
798.34,0.65507
798.66,0.62433
798.99,0.59955
799.31,0.5798
799.63,0.56857
799.95,0.56475
800.27,0.55613
800.59,0.55899
800.91,0.57297
801.23,0.58442
801.55,0.60629
801.87,0.63467
802.19,0.66503
802.52,0.69835
802.84,0.73237
803.16,0.75541
